City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,broome,42.2506,-75.833,42.69,43,0,6.91,US,1707079752
317,salalah,17.0151,54.0924,78.89,31,0,4.61,OM,1707079752
318,tadine,-21.55,167.8833,80.29,87,100,17.85,NC,1707079753
319,anahuac,27.2333,-100.15,77.95,11,0,20.47,MX,1707079753
320,sayat,38.7839,63.8803,33.67,58,68,9.78,TM,1707079753
321,nar'yan-mar,67.6713,53.087,-2.88,91,87,7.0,RU,1707079753
322,ghadamis,30.1337,9.5007,54.21,52,0,8.61,LY,1707079753
323,remire-montjoly,4.9167,-52.2667,86.04,74,0,14.97,GF,1707079753
324,nouadhibou,20.931,-17.0347,75.18,33,13,9.22,MR,1707079754
325,leticia,-4.2153,-69.9406,78.85,94,40,2.3,CO,1707079754
326,huatabampo,26.8333,-109.6333,78.6,22,0,11.61,MX,1707079729
327,mont-dore,-22.2833,166.5833,82.99,99,100,9.53,NC,1707079754
328,hasaki,35.7333,140.8333,36.0,61,100,8.37,JP,1707079754
329,khor,47.8861,134.9464,-18.53,100,86,2.91,RU,1707079754
330,cuatro cienegas de carranza,26.9833,-102.0833,72.43,11,0,19.44,MX,1707079579
331,kirakira,-10.4544,161.9205,82.49,83,67,10.71,SB,1707079755
332,englewood,39.6478,-104.9878,45.82,75,20,3.44,US,1707079529
333,maigo,8.1613,123.9583,77.14,91,35,4.18,PH,1707079755
334,klaksvik,62.2266,-6.589,34.72,65,96,10.4,FO,1707079755
335,keelung,25.1283,121.7419,64.99,87,94,7.76,TW,1707079755
336,fabens,31.5023,-106.1586,58.32,24,0,14.85,US,1707079756
337,haiku-pauwela,20.9219,-156.3051,73.26,73,40,14.0,US,1707079756
338,puerto baquerizo moreno,-0.9,-89.6,81.59,78,75,13.8,EC,1707079756
339,sosnovo-ozerskoye,52.5249,111.5418,-13.5,99,100,1.5,RU,1707079756
340,eyl,7.9803,49.8164,77.92,66,38,16.64,SO,1707079534
341,pacific,38.482,-90.7415,56.35,66,100,5.01,US,1707079757
342,sao borja,-28.6606,-56.0044,90.95,45,10,4.83,BR,1707079757
343,zyryanovsk,49.7386,84.2719,9.01,92,100,0.83,KZ,1707079757
344,gracemere,-23.4333,150.45,75.11,83,73,4.61,AU,1707079757
345,greenville,35.6127,-77.3663,55.44,43,0,8.05,US,1707079758
346,howrah,22.5892,88.3103,64.4,77,1,0.0,IN,1707079758
347,erenhot,43.6475,111.9767,9.01,97,100,5.41,CN,1707079758
348,berezovyy,51.6667,135.7,-9.67,95,5,3.02,RU,1707079758
349,ambodifotatra,-16.9833,49.85,79.54,81,100,8.75,MG,1707079758
350,tangalle,6.024,80.7911,75.42,89,100,10.36,LK,1707079758
351,bargaal,11.2864,51.0773,75.81,79,10,6.89,SO,1707079759
352,sangamner,19.5667,74.2167,71.24,44,0,5.19,IN,1707079759
353,skeldon,5.8833,-57.1333,83.17,73,78,9.51,GY,1707079759
354,trairi,-3.2778,-39.2689,81.91,75,68,12.57,BR,1707079692
355,santa ana,33.7456,-117.8678,64.09,63,75,14.97,US,1707079559
